id,label,name,description
38,Chunk,null,"The AM250/AM400 system's clamps are labeled, with a detailed list specifying each clamp's serial number, label, and description."
39,Chunk,null,"This document details various worm drive clamps for AM250/AM400, including isolation valve, overflow, and sieve-related clamps, illustrated in Figures 46-57."
40,Chunk,null,"Figures 47-55 illustrate various clamps for safe change filters, waste pipes, and overflow systems, labeled L4-L15 and SL1-SL2."
41,Chunk,null,"Document details clamps L12-L13, SL1-SL2 for powder bottle and sieve valves, SL3 for sieve inlet, and SL4-SL6 for sieve outlet and bracket connections."
42,Chunk,null,"The AM250/AM400 equipment requires main switch activation, argon regulation, and Emergency Stop management for safe operation, with process control via HMI and PLC."
43,Chunk,null,"The AM250/AM400 system includes a main computer, laser, chiller, beam aperture protective window, and viewing window, each with specific maintenance and safety protocols."
44,Chunk,null,"Decant powder into bottles, use inert atmospheres for reactive materials, and load silo with powder bottle via valves, avoiding vacuum cycles."
45,Chunk,null,"The AM250/AM400 system allows silo refilling post-initial vacuum cycle, features a Vega powder sensor for precise level monitoring, and includes a configurable powder delivery mechanism and wiper assembly for uniform powder distribution."
46,Chunk,null,"The chamber directs gas flow to collect metal particles, with enhanced efficiency in AM250/AM400 systems, and features a build plate for layer-by-layer metal powder fusion, controlled by heaters."
47,Chunk,null,"Metal powder and soot are captured in filters; inert gas is recirculated to maintain low oxygen, monitored by sensors, with waste disposal requiring specific procedures."
48,Chunk,null,"Handle and dispose of metal powder per COSHH/local laws, using PPE, avoiding dust clouds, and storing waste filters in water with Hydra-Sol-MAG for accredited disposal."
49,Chunk,null,"Regularly check and maintain AM250/AM400 chiller fluid levels, using Glycol or Nalco without mixing, and perform basic maintenance as per manufacturer's manual."
50,Chunk,null,"Vacuum chiller dust, replace cover, check temp and fluid levels monthly; use appropriate ATEX vacuum and fluids, avoiding improper storage and mixing."
51,Chunk,null,"Do not store ATEX vacuum in unventilated spaces; ensure all equipment is bonded, earthed, and ESD-safe; regularly inspect electrical continuity and grounding."
52,Chunk,null,"Regular maintenance, proper powder removal, and adherence to safety standards are crucial for Renishaw AM systems to prevent electrocution, powder explosions, and chemical reactions."
53,Chunk,null,"The ATEX vacuum cleaner (wet separator) mitigates hydrogen gas hazards via ventilation and Hydra-Sol-MAG, requiring specific safety checks and proper storage."
54,Chunk,null,"Empty and clean ATEX vacuum cleaners (Ruwac NA35/NA7) after shifts, check earthing, fluid levels, and use correct additives; ensure trained users handle reactive metals, and inspect ventilation valves pre-startup."
55,Chunk,null,"Turn off Ruwac ATEX vacuum, check valve movement, quarantine if stuck, contact Renishaw, clean after shifts, store waste properly; use PPE and follow safety for Renishaw sieve and argon supply."
56,Chunk,null,"Connect argon supply to sieve station for oxygen-reactive metals, regulate pressure, and ensure safe operation to prevent body part entrapment."
57,Chunk,null,Connect and sieve powder using specified valves and settings; avoid over-pressurizing and ensure adequate sieving time to prevent spillage.
58,Chunk,null,"Sieve powder for precise time, check for hollow sound, close valves, swap bottles, label, and follow safety protocols for disassembly and cleaning."
59,Chunk,null,"Turn off isolator, disassemble sieve components, remove mesh grating and dispose of powder, then carefully remove sieve balls for storage in Isopropanol."
60,Chunk,null,"Carefully disassemble sieve components, store balls in IPA, and clean with ATEX vacuum."
61,Chunk,null,Remove and clean sieve components with ATEX vacuum and Isopropanol; reassemble after ensuring all parts are dry.
62,Chunk,null,"Clean sieve surfaces with IPA, dry components, and reassemble in reverse order, carefully replacing seals, plates, balls, mesh, and lid."
63,Chunk,null,"Install seals, lids, and pipes with specified clamps, ensuring proper torque using the Russell Finex clamp assist."
64,Chunk,null,"Assemble the lower pipe, apply clamps to the sieve, check torque with the Russell Finex tool, and attach the argon connection; follow detailed clamp assist tool instructions for proper torque settings."
65,Chunk,null,"Adjust spindle for clamp tightness, use Clamp Assist for correct settings, and regularly check and maintain clamps for smooth operation and wear."
66,Chunk,null,"Users must comply with safety regulations, conduct risk assessments, and ensure proper training before operating the Renishaw silo lift, adhering to load limits and maintenance protocols."
67,Chunk,null,"Adjust release lever for controlled lowering; adhere to 200 KG capacity, ensure regular maintenance by qualified personnel, and conduct specified equipment checks."
68,Chunk,null,"Regularly check and maintain rope pulley, mast/carriage rollers, hydraulic circuit, and dehumidifier for optimal AM400 equipment performance, referring to Section 37 Appendix D for specifics."
69,Chunk,null,"Only qualified personnel should perform maintenance, including regular checks on wheels, fork arms, wire rope, mast/carriage rollers, and hydraulic circuit, and ensure dehumidifier functionality for AM400 stability."
70,Chunk,null,"The AM250/AM400 requires a reliable compressed air supply and inert gas (argon) at 25 bar for safe material processing; handle gas cylinders with care, securing them properly to prevent accidents."
71,Chunk,null,"Secure a full gas cylinder, attach the regulator without oil, set pressure to 1.5-1.8 bar, test for leaks, and ensure system door is closed before powering on."
72,Chunk,null,"Check for argon leaks, close AM250/AM400 valves, pressurize hoses to 1.8 bar, and ensure system door is closed before powering on; follow shutdown procedure to avoid PC damage."
73,Chunk,null,"To safely shutdown the control PC and AM250/AM400, initiate shutdown, wait for green LED to turn off, then power down; for startup, connect and switch on chiller and dehumidifier, setting chiller to 20°C."
74,Chunk,null,"The AM250/AM400 system features temperature-controlled optics, a dehumidifier with an illuminated On/Off switch, and a touch screen interface allowing limited access without login, with multiple user access levels for operation and maintenance."
75,Chunk,null,"Users must log in with a pass-code to access system levels, highlighted in yellow, and follow safety protocols, including wearing PPE, when opening system doors."
76,Chunk,null,"Use PPE, avoid dust clouds, and follow specific steps to safely open/close the AM250/AM400 system door and reset alarms."
77,Chunk,null,"To reset the door alarm on AM250/AM400, override the alarm, press the reset button, find Wiper Home, and ensure the lower door is properly closed; also, check and zero the pressure sensor after each build."
78,Chunk,null,"Ensure chamber pressure reads 0 mbar when open; if not, use Zero Pressure Reading button to reset, as incorrect readings can halt or fail the system."
79,Chunk,null,"This section outlines the safe transfer of metallic powder using an adaptor, emphasizing PPE, removing silica desiccant for titanium, and avoiding direct loading into AM systems."
80,Chunk,null,"Connect and invert powder bottles using quick-release clamps and isolating valves, ensuring proper PPE, to transfer powder safely into the silo, maintaining minimum bottle count and avoiding direct loading into AM250/AM400."
81,Chunk,null,"Do not overfill the powder silo, sieve powder before loading, and use a safe platform and proper valve procedures for filling."
82,Chunk,null,"Securely attach and empty a powder bottle into a silo using clamps and valves, then install overflow bottles with closed valves inside the access panel, ensuring proper PPE."
83,Chunk,null,"Install rear overflow bottle on AM250/AM400 by positioning, sealing flanges, securing with clamp, and opening valves A1 and V2."
84,Chunk,null,"Install rear overflow bottle by opening valves A1 and V2, then position and secure front overflow bottle with valve B1 and clamp L13."
85,Chunk,null,"Secure the quick-release clamp (L13) over flanges, open valves (B1, V3), and sieve metal powder for front overflow bottle installation."
86,Chunk,null,"The AM250, AM250 with PlusPac, and AM400 systems require changing the safe change or large safe change filter after each build, following specific procedures and safety precautions."
87,Chunk,null,"Close valves, open quick-release clamps (L4, L5), and disengage KF flanges to safely lower and remove the filter assembly."
88,Chunk,null,"Remove clamp (L5) from KF flange, place recirculation pipe, wet and neutralize filter element before disassembly to prevent fire."
89,Chunk,null,"When wetting the filter assembly, keep the top valve (F1) open to release hydrogen gas, disassemble in a ventilated area away from ignition sources, and use proper PPE."
90,Chunk,null,"Drain, disassemble, and replace the Hydra-Sol-MAG filter element, then clean and dry the housing before installing a new one."
91,Chunk,null,"Stock additional filter assemblies; replace AM250/AM400 filter element (part 790730000) after each build, following detailed installation steps in Section 22.2.3 to ensure safety."
92,Chunk,null,"Install new filter element, tighten bolts, place on AM250 system, ensuring valves closed, and secure with clamp, avoiding hot sensor."
93,Chunk,null,"Secure flanges with quick-release clamps, place centring ring seal, assemble valves, and open all four valves before starting the build."
94,Chunk,null,"Replace the AM250/AM400 system's large safe change filter after each build, ensuring proper PPE and following isolation and soaking procedures."
95,Chunk,null,"Fill large safe change filter with water, soak 3-5 mins, disassemble immediately, store used filter in water; replace after each build, ensuring system is paused or build completed before isolating valves."
96,Chunk,null,"Isolate system pipes, secure flanges with clamps, open clamps, and disengage KF40 flanges for filter assembly maintenance."
97,Chunk,null,"Remove the recirculation pipe and large safe change filter assembly from the AM250/AM400 system, ensuring to wet the filter element to neutralize particulates and use appropriate lifting equipment due to its weight."
98,Chunk,null,"Fill the large safe change filter assembly with water before removing the filter element, using proper lifting equipment and PPE due to its 30 kg weight when full."
99,Chunk,null,"Fill the large safe change filter assembly with water, stabilize the water level below the valve seal, soak for 3-5 minutes, then disassemble promptly to neutralize particles and prevent hydrogen gas buildup."
100,Chunk,null,"Position and drain the large safe change filter assembly, dispose of used filters, disassemble and clean the unit, and consider a second assembly to minimize downtime."
101,Chunk,null,"Renishaw advises purchasing a second filter assembly for AM250/AM400 systems to minimize downtime, ensuring proper drying, o-ring seal integrity, and correct installation of new filter elements to prevent damage."
102,Chunk,null,"Install the large safe change filter assembly in AM250/AM400 after replacing the filter element, ensuring valves F1 and F2 are closed only when the system is paused or build is complete."
103,Chunk,null,"Install the recirculation pipe on the filter valve, secure with clamp, and ensure all four isolation valves are closed."
104,Chunk,null,"Prepare the build chamber by securing a compatible, marked build plate to the z-axis table without zinc screws, ensuring the wiper is homed before installing the substrate."
105,Chunk,null,"Clean and measure substrate, input thickness in AM250/AM400, place build plate carefully to avoid system damage."
106,Chunk,null,"Ensure build plate is fitted to prevent Z-axis damage, install with marked front edge, use non-zinc screws, tighten bolts, reset error, and position wiper for complete installation."
107,Chunk,null,"Install or replace wiper blade by loosening M4 bolts, cutting silicone to 259±1 mm, and ensuring proper fit to avoid build issues."
108,Chunk,null,"Loosen M4 bolts, insert silicone blade, check alignment, and tighten bolts to 2 Nm without overtightening to secure wiper blade."
109,Chunk,null,"Secure wiper assembly, adjust Z height, and ensure even blade pressure to prevent silicone deformation; follow HMI prompts for positioning."
110,Chunk,null,"Adjust wiper blade height with a feeler gauge to 0.05 mm above substrate, ensuring even gap, then tighten bolts and reset alarm before dosing to avoid damage."
111,Chunk,null,"Set No. of Doses to 3, dose powder, move wiper to FWD POS for an even first layer with full bolt holes; adjust if uneven."
112,Chunk,null,"The heat soak procedure involves setting the build plate temperature via the control interface, ensuring even chamber heating for 40 minutes, and exercising caution with chamber access and z-axis operation."
113,Chunk,null,"The AM250/AM400's heated build plate requires autotuning for optimal performance when using thicker plates or encountering heater alarms, involving a systematic setup and approximately 10-20 minute auto tune process."
114,Chunk,null,"The auto-tune process adjusts PID parameters, requiring stabilization checks and potential retries, followed by a cooling period and testing to ensure stable temperature and demand at 170°C."
115,Chunk,null,"Stabilize heater demand and temperature, then set up FTP using WinSCP for file transfer to the Renishaw system, ensuring passive FTP is reset post-Windows updates."
116,Chunk,null,"After a Windows update, reset passive FTP in Internet Options and disable automatic updates to prevent communication failures during build transfers."
117,Chunk,null,"Transfer builds via local network; post-manual update, reset FTP settings; AM250/AM400 stores up to ten build files."
118,Chunk,null,"Before starting the build, verify all steps are complete, system checks passed, and valve positions correct for proper operation."
119,Chunk,null,"Select build, set wiper home, confirm filter valves open, and start process via control interface."
120,Chunk,null,"Ensure filter valves are open, confirm on interface, then system creates inert atmosphere, stabilizes, and maintains build with periodic material adjustments based on part cross-section and powder dosing."
121,Chunk,null,"To optimize 3D printing, adjust dosing based on layer thickness and material; set via Service > User settings, allowing mid-build changes, and restart builds from specific layers using auto operation screen or service menu."
122,Chunk,null,"To set the start layer or suppress a part, access the service menu, check run counters, enter the layer number, confirm, and proceed with the build or use the Suppress part function in the Auto screen."
123,Chunk,null,"To suppress parts during a build, enter part numbers in the Auto screen, and for non-emergency shutdown, pause via Auto; use Emergency Stop only in emergencies, requiring z-axis re-calibration."
124,Chunk,null,"After confirming build completion, close filter valves (V4, V5, F1, F2) at 90° to flow, verify closure in AM interface, and await heater cooldown to room temperature before opening the door."
125,Chunk,null,Wait for heater PV to reach room temp (<40°C) before opening door (Figures 277 & 278).
126,Chunk,null,"Remove overflow bottles by tapping powder into the bottle, closing valves, unlocking levers, rotating to horizontal, opening clamps, and disengaging KF flanges while wearing proper PPE and using an ATEX vacuum."
127,Chunk,null,"\""Figures 280-284 illustrate steps to close valves, disengage flanges, detach overflow pipe, remove bottle, and replace centring ring seal in a system.\"""
128,Chunk,null,Transfer powder from heavy large overflow bottles to smaller ones using centring rings and release clamps; ensure proper PPE and handling procedures to avoid hazards.
129,Chunk,null,"\""Handle 40 kg overflow bottles with care, open valves, rotate for powder transfer, check levels, and close valves in sequence to avoid spills.\"""
130,Chunk,null,"Transfer powder from large to small bottle, secure and disconnect, then vacuum chamber powder with ATEX cleaner, ensuring PPE and valve safety."
131,Chunk,null,"Prepare chamber, re-inert to <7% O2, manually control valves, raise build platform in stages, and clear powder through glove box while ensuring safety."
132,Chunk,null,"To remove powder from the AM250/AM400 build volume, open the glove hatch, mute the alarm, reduce chamber pressure, and use a brush, ensuring substrate temperature is below 40°C."
133,Chunk,null,"Brush powder into overflow bottle, close valves, transfer to small bottles, reinstall, repeat until build volume is empty, then raise substrate and loosen bolts, checking for damage."
134,Chunk,null,"Remove and inspect all four substrate bolts, tip out powder, clean gloves, and secure hatch with pressure to avoid alarm."
135,Chunk,null,"Apply pressure to the hatch door while replacing bolts to avoid alarms, then clean the AM250/AM400 build chamber using a vacuum and brush, and adjust the wiper blade assembly for access."
136,Chunk,null,"Raise wiper arms, remove M6 bolts, place parts in magnetic tray, detach and clean wiper blade assembly, then brush chamber powder down overflow."
137,Chunk,null,"Remove wiper, brush and vacuum powder from chamber, then clean surfaces with isopropanol, avoiding the laser lens window."
138,Chunk,null,"Use isopropanol to clean chamber surfaces, door seal, and gloves; inspect and maintain lens protective window to avoid damage and ensure clear laser beam."
139,Chunk,null,"Inspect and carefully clean the fused silica lens protective window to prevent scratching, maintain clarity, and ensure laser efficiency; replace as needed to sustain system performance."
140,Chunk,null,"To clean the lens protective window, secure the housing, remove bolts, check for lens sticking, and gently clean the lens edge with optic cleaner, inspecting for particles."
141,Chunk,null,"Use clean dry air to remove particles from the lens window, then gently wipe with optic cleaner and tissue, avoiding compressed air and harsh motions."
142,Chunk,null,"Clean lens protective window gently, avoiding streaks; remove, clean both sides, reassemble with grease on o-ring, and tighten bolts to 10 Nm."
143,Chunk,null,"Reassemble bolts finger tight, tighten to 10 Nm in sequence; clean AM250/AM400 lens protection assembly carefully to avoid scratching, using specified liquids and tissues."
144,Chunk,null,"Avoid using tools on lens protection; clean build chamber, then carefully remove and replace lens protection assembly to minimize optic exposure."
145,Chunk,null,"Dismantle the lens protection assembly, clean with optic cleaner and tissue, remove particles with dry air, and refit carefully without touching the window surface."
146,Chunk,null,"Refit the lens protection assembly by aligning bayonet lugs, securing with M4 bolts, and avoid touching the window surface; for deep cleaning, dismantle carefully, minimizing exposure to environment."
147,Chunk,null,"Clean lens protection assembly, refit, and prepare AM250/AM400 system by vacuuming and wiping bottom chamber with isopropanol for next build."
148,Chunk,null,"The AM400 system requires thorough cleaning during material changeover to prevent cross-contamination, using a Renishaw-supplied kit and following detailed steps for each component."
149,Chunk,null,"Remove cover, clean drive mechanism and hoses/pipework with ATEX vacuum and isopropanol alcohol, avoiding guide rails; clean manifolds and recirculation pump similarly."
150,Chunk,null,"This guide advises on heat treatment considerations for AM parts, emphasizing the need for vacuum or inert gas environments, and provides instructions for wrapping parts in furnace foil for protection."
151,Chunk,null,"Crimp open ends, flip and fold part, wrap fully, place in furnace box with foil, fit lid, and position in furnace for material change on Renishaw AM250/AM400."
152,Chunk,null,"The Renishaw AM250/AM400 allows easy material switching by removing the silo and using a powder changeover kit, with detailed safety and removal procedures outlined."
153,Chunk,null,"To safely remove and clean the silo, empty it first, use appropriate lifting methods, and follow disassembly steps with proper PPE."
154,Chunk,null,"Disassemble, clean, and dry the silo and its components, then reassemble by aligning the lid's KF flange with the silo's vertical face."
155,Chunk,null,"Assemble the silo by fitting and securing the lid, attaching powder sensor and isolation valve, ensuring valve closure, and following safety protocols for removing the dosing mechanism."
156,Chunk,null,"Close valve IV1, empty powder via Service Menu, support dosing mechanism, and remove two M10 bolts with an 8mm hex key."
157,Chunk,null,"Remove and store dosing mechanism, label for material-specific use, and reinstall with caution to avoid disassembly for quality assurance."
158,Chunk,null,"Securely reinstall the silo on the AM250/AM400 system by tightening bolts, lowering it into the doser, and opening the isolation valve, ensuring safety precautions for its 44.4 kg weight."
159,Chunk,null,"Position the AM250/AM400 silo above the aperture, lower it ensuring nose and pipes align, then secure with four M8 bolts tightened to 16 Nm."
160,Chunk,null,"Renishaw advises specific PPE and maintenance schedules for AM250/AM400 systems and ancillary equipment, with detailed tasks and safety precautions to minimize laser exposure and ensure proper functioning."
161,Chunk,null,Refer to Section 37 Appendix D for equipment details; clean AM250/AM400 filters monthly; check local maintenance legislation.
162,Chunk,null,"Replace AM250/AM400 system filter, conduct gas and powder safety checks, and replace non-rechargeable lithium batteries every 3 years to ensure safety and functionality."
163,Chunk,null,"Replace AM250/AM400 system batteries every 3 years; isolate power, discharge capacitors, and follow ESD precautions before maintenance; handle and dispose of batteries safely."
164,Chunk,null,"Replace HMI and PC batteries: Open compartments, record BIOS settings, disconnect PC, remove screws, and replace batteries carefully."
165,Chunk,null,"To replace AM250/AM400 PC and oxygen sensor board batteries, slide out the PC, remove case screws, replace motherboard battery, refit case, and access sensor board batteries in the top cabinet, removing covers to replace them."
166,Chunk,null,Remove and replace PLC battery (CR14250SE-R) within 5 mins of power-off to maintain memory backup; follow safety steps for decommissioning AM250/AM400 systems.
167,Chunk,null,"Deactivate and clean powder systems, wear specified PPE, follow shutdown procedures, document powder types, and consult Renishaw for disposal guidance."
168,Procedure,Caption of Figure 100.jpg,Assemble the mesh seal
169,Figure,Figure 100.jpg,Assemble the mesh seal
170,Figure,Figure 101.jpg,Assemble the main body
171,Figure,Figure 102.jpg,Replace the lid
172,Figure,Figure 103.jpg,Place the centring o-ring
173,Figure,Figure 104.jpg,Attach the upper valve (S1) with clamp (SL2)
174,Figure,Figure 105.jpg,Attach the top pipe
175,Figure,Figure 106.jpg,Connect pipe insert to lid using clamp (SL3)
176,Figure,Figure 107.jpg,Tighten worm drive hose clamp
177,Figure,Figure 108.jpg,Apply the clamps
178,Figure,Figure 109.jpg,Russel Finex clamp assist tool
179,Figure,Figure 110.jpg,Tighten the argon connection
180,Figure,Figure 111.jpg,"a. Clamp pad, b. Hex nut, c. Spindle"
181,Figure,Figure 112.jpg,"Under-clamp type (left), toggle-clamp type 1 (middle) and type 2 (right)"
182,Figure,Figure 113.jpg,Renishaw silo lift
183,Figure,Figure 114.jpg,Close cylinder valve
184,Figure,Figure 115.jpg,Unscrew regulator from the cylinder
185,Figure,Figure 116.jpg,Secure the gas cylinder
186,Figure,Figure 117.jpg,Attach regulator
187,Figure,Figure 118.jpg,"Left gauge shows supply pressure, right gauge cylinder pressure."
188,Figure,Figure 119.jpg,Rotate regulator right to increase supply pressure
189,Figure,Figure 120.jpg,Main isolator switch
190,Figure,Figure 121.jpg,Welcome screen
191,Figure,Figure 122.jpg,Select shutdown PC
192,Figure,Figure 123.jpg,Open PC cover and wait for green LED light circled to expire
193,Figure,Figure 124.jpg,Chiller on switch (top) and chiller temperature (bottom)
194,Figure,Figure 125.jpg,Dehumidifier on/off switch
195,Figure,Figure 126.jpg,Language selection page (optional on software installation)
196,Figure,Figure 127.jpg,Loginto the user interface before selecting the required user level
197,Figure,Figure 128.jpg,Range of levels which the user can gain access to
198,Figure,Figure 129.jpg,Enter pass-code using keypad
199,Figure,Figure 130.jpg,Select <Esc.>
200,Figure,Figure 131.jpg,Open door window in AM250/AM400 control screen interface
201,Figure,Figure 132.jpg,Opening the door whilst pressing the reset button
202,Figure,Figure 133.jpg,Engage the latch and push firmly shut
203,Figure,Figure 135.jpg,Wiper/Elevator control window in AM250/AM400 control interface
204,Figure,Figure 136.jpg,Opening the lower door
205,Figure,Figure 137.jpg,Engage the latch and push firmly shut
206,Figure,Figure 138.jpg,Zero pressure reading if not reading zero when the door is open
207,Figure,Figure 139.jpg,Removal of silica desiccant from container
208,Figure,Figure 14.jpg,Protective housing label
209,Figure,Figure 140.jpg,Connect quick-release clamp and invert bottles
210,Figure,Figure 141.jpg,Use the safe working platform
211,Figure,Figure 142.jpg,Place an centring ring on silo isolating valve (V1) (closed)
212,Figure,Figure 143.jpg,Powder bottle assembled to the silo using a quick-release clamp (L1)
213,Figure,Figure 144.jpg,Close clamp (L1)
214,Figure,Figure 145.jpg,Powder bottle to silo with valves (A1 and V1) open
215,Figure,Figure 146.jpg,Tap gently
216,Figure,Figure 147.jpg,"Four overflow valves (A1, B1, V2 and V3) - shown in open position"
217,Figure,Figure 148.jpg,Rear overflow - small powder bottle
218,Figure,Figure 149.jpg,Place seal on flange
219,Figure,Figure 150.jpg,Engage the first half of the clamp (L10)
220,Figure,Figure 151.jpg,Engage second half and close clamp L10)
221,Figure,Figure 152.jpg,Open both valves (A1 and V2)
222,Figure,Figure 153.jpg,Valves (A1 and V2) open
223,Figure,Figure 154.jpg,Locate seal on flange
224,Figure,Figure 155.jpg,Mate large overflow bottle isolation valve (B1) flange with pipework isolation valve (V3) flange
225,Figure,Figure 156.jpg,Engage first half of the clamp (L13)
226,Figure,Figure 157.jpg,Engage second half and close clamp (L13)
227,Figure,Figure 158.jpg,Open both valves (B1 and V3)
228,Figure,Figure 159.jpg,Safe change filter
229,Figure,Figure 160.jpg,Large safe change filter
230,Figure,Figure 161.jpg,Lower valves closed (V5 and F2)
231,Figure,Figure 162.jpg,Upper valves (F1 and V4) closed
232,Figure,Figure 163.jpg,Remove the upper quick-release clamp (L4)
233,Figure,Figure 164.jpg,Open the latch on the quick-release clamp (L5)
234,Figure,Figure 165.jpg,Support pipe and remove clamp (L5)
235,Figure,Figure 166.jpg,Removing safe change filter from retaining bracket
236,Figure,Figure 167.jpg,Open valve (F1) and fill filter housing
237,Figure,Figure 168.jpg,Drum assigned for filter disposal
238,Figure,Figure 169.jpg,Draining water through the filter
239,Figure,Figure 17.jpg,Interlocked housing label
240,Figure,Figure 170.jpg,Disassembly of filter assembly
241,Figure,Figure 171.jpg,Removal of used filter element from filter housing
242,Figure,Figure 172.jpg,Storage of used filter elements in assigned disposal drum
243,Figure,Figure 173.jpg,Safe change filter assembly
244,Figure,Figure 174.jpg,Apply grease to open end
245,Figure,Figure 175.jpg,Insert hollow end
246,Figure,Figure 176.jpg,Apply grease to closed end seal
247,Figure,Figure 177.jpg,Pre-tighten
248,Figure,Figure 178.jpg,Tightening sequence
249,Figure,Figure 179.jpg,"Insert seal, slide onto retaining bracket with valves (F1 and V4)"
